location_id,station_name,parameter,avg_value,median_value,min_value,max_value,number_of_readings,first_date,last_date,avg_percent_coverage
7035,УБ-11,no2,17.474254742547426,13.0,2.0,86.0,369,2016-12-23,2019-12-30,4.0
7035,УБ-11,pm10,37.333333333333336,33.0,33.0,46.0,3,2019-08-28,2019-08-30,4.0
7035,УБ-11,so2,18.265625,8.0,1.0,87.0,320,2016-12-23,2019-12-30,4.0
7126,УБ-9,no2,22.011111111111113,15.0,1.0,246.0,360,2016-12-25,2019-11-29,4.0
7126,УБ-9,so2,20.763754045307444,8.0,1.0,117.0,309,2016-12-25,2019-11-29,4.0
7215,УБ-6,no2,19.615176151761517,16.0,2.0,127.0,369,2017-05-24,2019-12-30,4.0
7215,УБ-6,so2,21.424836601307188,11.0,1.0,123.0,306,2017-05-24,2019-12-30,4.0
7230,Зуунмод,no2,10.671211453744492,8.67,2.0,39.0,454,2017-10-15,2019-12-30,9.537444933920705
7230,Зуунмод,so2,9.580925110132158,4.415,1.0,81.0,454,2017-10-15,2019-12-30,9.438325991189428
8160,Ulaanbaatar,pm25,66.94137750556793,27.05,0.167,472.0,898,2016-11-09,2019-10-02,88.59354120267261
